timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu, memory.used [MiB], memory.total [MiB]
2026/08/06 16:05:07.321, 0 %, 0 %, 49.28 W, 26, 0 MiB, 81559 MiB
2026/08/06 16:05:12.330, 69 %, 0 %, 95.25 W, 28, 467 MiB, 81559 MiB
2026/08/06 16:05:17.330, 69 %, 0 %, 95.31 W, 29, 467 MiB, 81559 MiB
2026/08/06 16:05:22.331, 70 %, 0 %, 95.37 W, 29, 467 MiB, 81559 MiB
2026/08/06 16:05:27.331, 70 %, 0 %, 95.44 W, 29, 467 MiB, 81559 MiB
2026/08/06 16:05:32.332, 69 %, 0 %, 95.44 W, 29, 467 MiB, 81559 MiB
2026/08/06 16:05:37.333, 70 %, 0 %, 95.57 W, 29, 467 MiB, 81559 MiB
2026/08/06 16:05:42.333, 69 %, 0 %, 95.69 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:05:47.334, 69 %, 0 %, 95.62 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:05:52.334, 70 %, 0 %, 95.58 W, 30, 463 MiB, 81559 MiB
2026/08/06 16:05:57.335, 69 %, 0 %, 95.74 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:06:02.335, 70 %, 0 %, 95.69 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:06:07.336, 69 %, 0 %, 95.85 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:06:12.337, 70 %, 0 %, 95.83 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:06:17.337, 69 %, 0 %, 95.70 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:06:22.338, 69 %, 0 %, 95.67 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:06:27.338, 69 %, 0 %, 95.74 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:06:32.339, 69 %, 0 %, 95.86 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:06:37.339, 70 %, 0 %, 95.86 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:06:42.340, 70 %, 0 %, 95.88 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:06:47.340, 70 %, 0 %, 95.90 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:06:52.341, 70 %, 0 %, 95.82 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:06:57.341, 70 %, 0 %, 95.94 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:07:02.342, 71 %, 0 %, 95.95 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:07:07.342, 70 %, 0 %, 96.02 W, 30, 463 MiB, 81559 MiB
2026/08/06 16:07:12.343, 70 %, 0 %, 95.91 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:07:17.344, 70 %, 0 %, 96.05 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:07:22.344, 69 %, 0 %, 95.91 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:07:27.345, 70 %, 0 %, 96.05 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:07:32.345, 69 %, 0 %, 96.05 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:07:37.346, 70 %, 0 %, 95.96 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:07:42.346, 70 %, 0 %, 95.98 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:07:47.347, 70 %, 0 %, 96.00 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:07:52.347, 70 %, 0 %, 95.93 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:07:57.348, 71 %, 0 %, 96.01 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:08:02.348, 70 %, 0 %, 95.88 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:08:07.349, 70 %, 0 %, 96.01 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:08:12.349, 69 %, 0 %, 96.04 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:08:17.350, 70 %, 0 %, 95.95 W, 30, 463 MiB, 81559 MiB
2026/08/06 16:08:22.351, 69 %, 0 %, 95.93 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:08:27.351, 70 %, 0 %, 96.01 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:08:32.352, 70 %, 0 %, 96.03 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:08:37.352, 70 %, 0 %, 96.08 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:08:42.353, 70 %, 0 %, 95.86 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:08:47.353, 71 %, 0 %, 95.92 W, 30, 461 MiB, 81559 MiB
2026/08/06 16:08:52.354, 71 %, 0 %, 95.88 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:08:57.354, 70 %, 0 %, 95.99 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:09:02.355, 70 %, 0 %, 96.03 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:09:07.355, 70 %, 0 %, 95.85 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:09:12.356, 71 %, 0 %, 96.00 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:09:17.357, 70 %, 0 %, 95.87 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:09:22.357, 70 %, 0 %, 96.06 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:09:27.358, 70 %, 0 %, 95.86 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:09:32.358, 69 %, 0 %, 95.89 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:09:37.359, 69 %, 0 %, 95.82 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:09:42.359, 70 %, 0 %, 95.96 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:09:47.360, 70 %, 0 %, 95.94 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:09:52.360, 70 %, 0 %, 95.73 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:09:57.361, 70 %, 0 %, 95.80 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:10:02.362, 69 %, 0 %, 95.73 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:10:07.362, 69 %, 0 %, 95.97 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:10:12.363, 69 %, 0 %, 95.90 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:10:17.365, 69 %, 0 %, 95.82 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:10:22.365, 69 %, 0 %, 95.70 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:10:27.366, 69 %, 0 %, 95.85 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:10:32.366, 70 %, 0 %, 95.83 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:10:37.367, 70 %, 0 %, 95.85 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:10:42.367, 70 %, 0 %, 95.79 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:10:47.368, 70 %, 0 %, 95.83 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:10:52.369, 69 %, 0 %, 95.77 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:10:57.369, 69 %, 0 %, 95.83 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:11:02.370, 69 %, 0 %, 95.93 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:11:07.370, 70 %, 0 %, 95.96 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:11:12.371, 70 %, 0 %, 95.89 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:11:17.372, 69 %, 0 %, 95.83 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:11:22.372, 69 %, 0 %, 95.80 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:11:27.372, 70 %, 0 %, 95.79 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:11:32.373, 70 %, 0 %, 95.89 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:11:37.374, 70 %, 0 %, 95.86 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:11:42.374, 69 %, 0 %, 95.78 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:11:47.375, 69 %, 0 %, 95.94 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:11:52.375, 70 %, 0 %, 95.84 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:11:57.376, 70 %, 0 %, 95.95 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:12:02.376, 70 %, 0 %, 95.84 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:12:07.377, 69 %, 0 %, 95.85 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:12:12.377, 70 %, 0 %, 95.82 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:12:17.378, 69 %, 0 %, 95.91 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:12:22.379, 68 %, 0 %, 95.40 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:12:27.379, 68 %, 0 %, 95.49 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:12:32.380, 68 %, 0 %, 95.43 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:12:37.380, 68 %, 0 %, 95.41 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:12:42.381, 69 %, 0 %, 95.51 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:12:47.382, 68 %, 0 %, 95.54 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:12:52.382, 68 %, 0 %, 95.38 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:12:57.383, 68 %, 0 %, 95.43 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:13:02.383, 67 %, 0 %, 95.43 W, 30, 463 MiB, 81559 MiB
2026/08/06 16:13:07.384, 68 %, 0 %, 95.57 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:13:12.384, 68 %, 0 %, 95.31 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:13:17.385, 68 %, 0 %, 95.48 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:13:22.386, 68 %, 0 %, 95.29 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:13:27.386, 68 %, 0 %, 95.45 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:13:32.387, 67 %, 0 %, 95.46 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:13:37.387, 68 %, 0 %, 95.47 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:13:42.388, 67 %, 0 %, 95.42 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:13:47.388, 68 %, 0 %, 95.45 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:13:52.389, 68 %, 0 %, 95.24 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:13:57.389, 68 %, 0 %, 95.44 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:14:02.390, 69 %, 0 %, 95.48 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:14:07.390, 68 %, 0 %, 95.39 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:14:12.391, 68 %, 0 %, 95.52 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:14:17.391, 67 %, 0 %, 95.41 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:14:22.392, 68 %, 0 %, 95.36 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:14:27.392, 68 %, 0 %, 95.03 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:14:32.393, 67 %, 0 %, 95.34 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:14:37.394, 68 %, 0 %, 95.42 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:14:42.394, 68 %, 0 %, 95.49 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:14:47.395, 68 %, 0 %, 95.39 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:14:52.395, 67 %, 0 %, 95.34 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:14:57.396, 68 %, 0 %, 95.43 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:15:02.396, 67 %, 0 %, 95.28 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:15:07.397, 68 %, 0 %, 95.43 W, 30, 463 MiB, 81559 MiB
2026/08/06 16:15:12.397, 69 %, 0 %, 95.39 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:15:17.398, 68 %, 0 %, 95.43 W, 30, 467 MiB, 81559 MiB
2026/08/06 16:15:22.399, 69 %, 0 %, 95.39 W, 30, 467 MiB, 81559 MiB
