Linux 4.18.0-553.144.1.el8_10.x86_64 (ac062) 	08/06/26 	_x86_64_	(96 CPU)

13:07:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:07:14     all   62.70    0.00    3.72    0.00    0.24    0.01    0.00    0.00    0.00   33.34
13:07:14       0   99.60    0.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14       1   99.00    0.00    0.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14       2   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:07:14       3   99.00    0.00    0.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14       4   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14       5   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14       6   99.00    0.00    0.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14       7   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14       8   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:07:14       9   99.20    0.00    0.60    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:07:14      10   99.00    0.00    0.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14      11   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:07:14      12   99.00    0.00    0.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14      13   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:07:14      14   99.20    0.00    0.40    0.00    0.20    0.20    0.00    0.00    0.00    0.00
13:07:14      15   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:07:14      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:07:14      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:07:14      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:07:14      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:07:14      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:07:14      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:07:14      22    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
13:07:14      23   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14      24   99.60    0.00    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:07:14      25   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14      26   99.40    0.00    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00
13:07:14      27   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14      28   99.20    0.00    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:07:14      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:07:14      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:07:14      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:07:14      33   99.40    0.00    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00
13:07:14      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:07:14      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:07:14      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
